"","Estimate","SE","LB CI","UB CI","N","Switchers","N.w","Switchers.w","Time"
"Effect_1    ",3.20646723213521,2.16930920988084,-1.04530069056229,7.4582351548327,34,6,34,6,1
"Effect_2    ",2.91535993800817,1.62406393434462,-0.267746881897716,6.09846675791405,34,6,34,6,2
"Effect_3    ",2.51727009107991,1.36050651043171,-0.149273670098514,5.18381385225833,34,6,34,6,3
"Effect_4    ",4.00627606495343,0.990896419649379,2.06415477003096,5.9483973598759,34,6,34,6,4
"Effect_5    ",2.89536736923555,0.452647019230907,2.00819551383356,3.78253922463754,34,6,34,6,5
"Effect_6    ",2.96479871700851,0.689903092196968,1.61261350347964,4.31698393053738,34,6,34,6,6
"Effect_7    ",2.31177330119429,0.568130870333699,1.19825725683484,3.42528934555373,34,6,34,6,7
"Av_tot_eff  ",2.97390181623072,0.848103498388866,1.31164950422612,4.63615412823532,238,42,238,42,0
"Placebo_1   ",0.219910387481481,0.310235236352831,-0.388139502505339,0.827960277468301,34,6,34,6,-1
"Placebo_2   ",-0.022663885728487,0.494030264772781,-0.990945411955925,0.945617640498951,34,6,34,6,-2
"Placebo_3   ",0.496345361116717,0.656961051964734,-0.791274639979708,1.78396536221314,34,6,34,6,-3
"Placebo_4   ",0.455670231596549,0.894791937994533,-1.29808974052953,2.20943020372263,34,6,34,6,-4
