"","Estimate","SE","LB CI","UB CI","N","Switchers","N.w","Switchers.w","Time"
"Effect_1    ",3.18043146802619,2.17596441379893,-1.08438041466052,7.4452433507129,34,6,34,6,1
"Effect_2    ",2.86328840979013,1.63973049968307,-0.350524313940558,6.07710113352081,34,6,34,6,2
"Effect_3    ",2.43916279875285,1.3800798872628,-0.26574407607034,5.14406967357605,34,6,34,6,3
"Effect_4    ",3.90213300851736,0.997447744289675,1.94717135324888,5.85709466378584,34,6,34,6,4
"Effect_5    ",2.76518854869046,0.465142400382833,1.85352619625759,3.67685090112332,34,6,34,6,5
"Effect_6    ",2.8085841323544,0.670365336771791,1.49469221579762,4.12247604891117,34,6,34,6,6
"Effect_7    ",2.12952295243116,0.604801800159154,0.944133206334224,3.31491269852809,34,6,34,6,7
"Av_tot_eff  ",2.86975875979465,0.874518762346943,1.1557334817901,4.5837840377992,238,42,238,42,0
"Placebo_1   ",0.245946151590499,0.318217803289336,-0.37774928209605,0.869641585277048,34,6,34,6,-1
"Placebo_2   ",0.0294076424895501,0.510642694372625,-0.971433647449288,1.03024893242839,34,6,34,6,-2
"Placebo_3   ",0.574452653443773,0.682276291693065,-0.762784305780178,1.91168961266772,34,6,34,6,-3
"Placebo_4   ",0.559813288032624,0.920142325730434,-1.24363253104995,2.3632591071152,34,6,34,6,-4
